date,open,high,low,close,volume,volume(HYPE),market_cap
01/03/2025,$23.19,$24.70,$21.69,$24.45,$223.3 m,9503261,$7.8 bn
01/02/2025,$26.33,$26.76,$22.65,$23.21,$208.8 m,8441800,$8.3 bn
01/01/2025,$23.90,$26.50,$23.35,$26.35,$173.8 m,6947470,$8.4 bn
12/31/2024,$27.00,$27.10,$23.08,$23.92,$201.3 m,7967685,$8.4 bn
12/30/2024,$27.55,$29.06,$26.51,$27.02,$190.6 m,6923407,$9.2 bn
12/29/2024,$29.17,$29.49,$26.63,$27.58,$143.1 m,5072673,$9.4 bn
12/28/2024,$27.18,$29.18,$25.84,$29.20,$172.3 m,6190750,$9.3 bn
12/27/2024,$27.13,$28.83,$25.74,$27.20,$225.1 m,8270722,$9.1 bn
12/26/2024,$26.62,$27.16,$24.12,$27.15,$318.9 m,12149300,$8.8 bn
12/25/2024,$29.80,$30.45,$26.30,$26.64,$321.9 m,11378896,$7.7 bn
12/24/2024,$28.51,$31.48,$27.46,$29.82,$392.1 m,13379547,$7.9 bn
12/23/2024,$28.12,$29.77,$25.35,$28.53,$674.4 m,24144198,$7.6 bn
12/22/2024,$32.31,$34.96,$27.50,$28.14,$506.2 m,16480990,$8.3 bn
12/21/2024,$29.84,$35.03,$29.06,$32.34,$496.1 m,15724005,$8.5 bn
12/20/2024,$25.23,$31.60,$22.96,$29.87,$570.9 m,20835509,$7.4 bn
12/19/2024,$23.51,$27.17,$22.09,$25.25,$499.4 m,20387202,$6.6 bn
12/18/2024,$25.69,$27.42,$22.92,$23.53,$439.1 m,17648377,$6.7 bn
12/17/2024,$27.01,$28.98,$24.21,$25.71,$423 m,15982640,$7.2 bn
12/16/2024,$23.96,$28.47,$23.12,$27.03,$352.1 m,13734878,$6.9 bn
12/15/2024,$24.34,$25.01,$21.17,$23.82,$376.7 m,15977228,$6.4 bn
12/14/2024,$19.46,$24.02,$19.08,$24.03,$340.5 m,15734432,$5.9 bn
12/13/2024,$18.11,$19.57,$16.99,$19.24,$174.3 m,9437350,$5 bn
12/12/2024,$16.13,$18.75,$15.67,$17.86,$243.9 m,14266016,$4.6 bn
12/11/2024,$13.63,$16.54,$13.04,$16.22,$171.5 m,11549616,$4 bn
12/10/2024,$13.52,$14.40,$12.63,$13.87,$182.8 m,13444181,$3.7 bn
12/09/2024,$14.08,$14.39,$12.18,$13.00,$221.1 m,16493226,$3.6 bn
12/08/2024,$13.91,$14.61,$13.47,$14.16,$116.5 m,8298605,$3.8 bn
12/07/2024,$13.81,$14.99,$13.56,$14.35,$158.7 m,11198167,$3.8 bn
12/06/2024,$12.66,$14.38,$12.34,$14.13,$178.9 m,13377802,$3.6 bn
12/05/2024,$11.53,$13.93,$10.45,$11.98,$267.1 m,22308476,$3.2 bn
12/04/2024,$11.08,$13.19,$10.76,$11.62,$298.5 m,25603599,$3.2 bn
12/03/2024,$8.42,$11.78,$7.75,$11.29,$215.4 m,21971519,$2.7 bn
12/02/2024,$9.49,$9.65,$7.21,$8.27,$281.4 m,32519986,$2.3 bn
12/01/2024,$8.60,$9.87,$8.20,$9.13,$323.1 m,36099794,$0
11/30/2024,$6.42,$8.91,$6.20,$8.72,$368 m,48679811,$0
